Invoice_ID,Date,Time,Branch,Product,Category,Quantity,Unit Price,Cost Price,Revenue,Profit,Payment Mode,Customer Type,Employee
INV00001,2025-11-06,09:25,Nagpur,Black Tea,Tea,3,18,9,54,27,UPI,New,Emp_13
INV00002,2025-02-10,14:21,Nagpur,Cream Roll,Snacks,4,25,12,100,52,UPI,Regular,Emp_12
INV00003,2025-10-26,21:24,Mumbai,Lemon Tea,Tea,1,22,11,22,11,UPI,New,Emp_11
INV00004,2025-11-12,18:48,Pune,Ginger Tea,Tea,3,20,10,60,30,Card,Regular,Emp_7
INV00005,2025-08-07,17:47,Indore,Rose Milk,Milk,4,45,28,180,68,UPI,New,Emp_17
INV00006,2025-02-02,20:03,Nashik,Hot Coffee,Coffee,3,40,22,120,54,Card,New,Emp_3
INV00007,2025-05-18,19:19,Mumbai,Cold Coffee,Coffee,3,60,35,180,75,UPI,Regular,Emp_4
INV00008,2025-06-22,21:05,Indore,Cold Coffee,Coffee,6,60,35,360,150,Card,Regular,Emp_6
INV00009,2025-12-04,10:21,Nashik,Cake,Snacks,6,35,20,210,90,Cash,New,Emp_7
INV00010,2025-10-21,18:44,Nashik,Cake,Snacks,2,35,20,70,30,UPI,Regular,Emp_20
INV00011,2025-08-12,20:19,Mumbai,Black Tea,Tea,3,18,9,54,27,UPI,New,Emp_17
INV00012,2025-12-22,20:01,Nashik,Jaggery Tea,Tea,5,25,13,125,60,UPI,New,Emp_10
INV00013,2025-10-29,16:08,Pune,Cream Roll,Snacks,6,25,12,150,78,UPI,Regular,Emp_12
INV00014,2025-06-17,14:11,Indore,Regular Tea,Tea,4,15,8,60,28,UPI,Regular,Emp_5
INV00015,2025-05-08,17:17,Pune,Ginger Tea,Tea,4,20,10,80,40,UPI,Regular,Emp_3
INV00016,2025-06-03,20:48,Nagpur,Bakarwadi,Snacks,5,30,16,150,70,UPI,New,Emp_10
INV00017,2025-01-22,17:22,Nashik,Masala Milk,Milk,6,35,20,210,90,UPI,Regular,Emp_7
INV00018,2025-01-18,13:10,Mumbai,Bakarwadi,Snacks,3,30,16,90,42,UPI,Regular,Emp_20
INV00019,2025-01-06,20:01,Pune,Rose Milk,Milk,5,45,28,225,85,UPI,New,Emp_10
INV00020,2025-03-30,09:59,Indore,Ginger Tea,Tea,2,20,10,40,20,Card,Regular,Emp_4
INV00021,2025-01-14,21:15,Nashik,Ginger Tea,Tea,4,20,10,80,40,Cash,New,Emp_2
INV00022,2025-01-16,16:42,Nashik,Regular Tea,Tea,4,15,8,60,28,UPI,Regular,Emp_11
INV00023,2025-09-17,15:05,Nagpur,Cookies,Snacks,4,20,10,80,40,Card,Regular,Emp_7
INV00024,2025-01-31,15:41,Indore,Bakarwadi,Snacks,4,30,16,120,56,UPI,Regular,Emp_5
INV00025,2025-03-30,15:57,Mumbai,Cake,Snacks,1,35,20,35,15,Cash,Regular,Emp_15
INV00026,2025-12-11,20:55,Indore,Jaggery Tea,Tea,3,25,13,75,36,UPI,Regular,Emp_17
INV00027,2025-05-11,16:01,Nagpur,Cream Roll,Snacks,5,25,12,125,65,UPI,New,Emp_7
INV00028,2025-12-26,19:52,Indore,Cream Roll,Snacks,4,25,12,100,52,UPI,Regular,Emp_11
INV00029,2025-12-15,19:22,Indore,Bakarwadi,Snacks,3,30,16,90,42,UPI,Regular,Emp_4
INV00030,2025-09-28,08:40,Pune,Masala Milk,Milk,6,35,20,210,90,Cash,Regular,Emp_7
INV00031,2025-07-10,20:50,Indore,Lemon Tea,Tea,6,22,11,132,66,Cash,Regular,Emp_14
INV00032,2025-06-09,12:21,Nashik,Regular Tea,Tea,1,15,8,15,7,UPI,Regular,Emp_1
INV00033,2025-01-10,16:58,Mumbai,Lemon Tea,Tea,4,22,11,88,44,UPI,Regular,Emp_19
INV00034,2025-03-23,19:54,Nashik,Jaggery Tea,Tea,3,25,13,75,36,Card,Regular,Emp_2
INV00035,2025-05-01,16:20,Nashik,Black Tea,Tea,3,18,9,54,27,UPI,Regular,Emp_9
INV00036,2025-12-23,17:19,Nagpur,Cream Roll,Snacks,3,25,12,75,39,UPI,New,Emp_12
INV00037,2025-11-14,11:06,Pune,Cake,Snacks,2,35,20,70,30,UPI,New,Emp_5
INV00038,2025-07-16,09:24,Indore,Regular Tea,Tea,5,15,8,75,35,UPI,New,Emp_4
INV00039,2025-09-10,21:09,Nagpur,Rose Milk,Milk,2,45,28,90,34,Card,Regular,Emp_20
INV00040,2025-07-15,16:37,Mumbai,Hot Coffee,Coffee,4,40,22,160,72,UPI,Regular,Emp_3
INV00041,2025-06-13,18:43,Mumbai,Lemon Tea,Tea,2,22,11,44,22,UPI,Regular,Emp_20
INV00042,2025-06-24,09:57,Nashik,Cream Roll,Snacks,3,25,12,75,39,UPI,New,Emp_5
INV00043,2025-12-12,11:07,Nagpur,Cake,Snacks,6,35,20,210,90,UPI,New,Emp_4
INV00044,2025-05-01,16:46,Mumbai,Hot Coffee,Coffee,5,40,22,200,90,UPI,New,Emp_10
INV00045,2025-05-14,18:32,Nashik,Jaggery Tea,Tea,5,25,13,125,60,Cash,Regular,Emp_7
INV00046,2025-10-22,18:46,Nashik,Bakarwadi,Snacks,1,30,16,30,14,Card,Regular,Emp_15
INV00047,2025-12-27,13:33,Pune,Cream Roll,Snacks,2,25,12,50,26,Cash,Regular,Emp_15
INV00048,2025-01-10,20:35,Nashik,Bakarwadi,Snacks,5,30,16,150,70,Card,Regular,Emp_10
INV00049,2025-05-31,16:07,Mumbai,Cream Roll,Snacks,3,25,12,75,39,UPI,Regular,Emp_9
INV00050,2025-08-29,14:02,Mumbai,Cookies,Snacks,3,20,10,60,30,Cash,New,Emp_13
INV00051,2025-08-01,10:01,Nashik,Masala Milk,Milk,6,35,20,210,90,UPI,Regular,Emp_2
